path,legacyGone,v2Gone,v2State,survivorDecision,redirectTarget,legacySource,v2Source,parity,reason
"/รับซื้อตั๋วจำนำปราสาท/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำปากช่อง/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำพรเจริญ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำมหาชนะช/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำยางตลาด/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำรัตนบุร/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำวังสะพุ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำวาริชภู/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำวารินชำ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำศรีบุญเ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำศรีเชีย/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำหนองหาน/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำอากาศอำ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเชียงคา/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเซกา/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเดชอุดม/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองกา/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองขอ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองชั/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองนค-2/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองนค/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองบึ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองบุ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองมห/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองมุ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองยโ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองร้/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองศร/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองสก/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองสุ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองหน-2/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองหน/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองอำ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองอุ-2/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองอุ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเมืองเล/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำเรณูนคร/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำโกสุมพิ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำโนนสูง/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำโพนทอง/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อมือถือ-ใกล้ฉัน-มห/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหรียญญี่ปุ่น-รั/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-100-pipers/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-black-label/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-blue-label/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-jack-danails/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-jameson/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอกระทุ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอกำแพง/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอคลองห/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอดอนตู/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอธัญบุ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอนครชั/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอบางกร/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอบางบั/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอบางบ่/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอบางพล/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอบางเล/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอบางเส/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอบางให/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอบ้านแ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอปากเก/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอพระปร/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอพระสม/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอพุทธม/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอลาดหล/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอลำลูก/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอสามพร/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอสามโค/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอหนองเ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอเมือ-2/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอเมือ-3/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอเมือ-4/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอเมือ-5/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอเมือง/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-อำเภอไทรน้/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อเหล้า-เขตคลองสาน/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
